;tid;act;emotion;sentiment;text
93;2017-En-30203;sug;['joy', 'optimism'];positive;Be happy not because everything is good, but because you can see the good side of everything  #optimism
94;2017-En-21680;sug;['anticipation', 'fear', 'optimism'];negative;@LaneWoolery @FFKazman experience all plays a role in that, it's education and preparedness not fear
95;2017-En-31474;exp;['joy', 'love', 'optimism'];positive;"#MeogysDailyVocabEnhancment Elation: quality or state of being elated; feeling or state of great joy or pride"
96;2017-En-30715;sta;['sadness'];negative;it's so breezy out today, i can't go to back to school night with bare legs like i've had all day
97;2017-En-30071;exp;['joy', 'optimism'];positive;It's funny that everyone came in my life as they like how far I'm cheerful and self confident could make me 3abla kaml fg2a kda 😂😂😂
98;2017-En-30765;sta;['anger', 'disgust'];negative;Oh that cheery fucking note, good night shit heads X
99;2017-En-40679;exp;['anticipation', 'joy', 'love', 'optimism'];negative;TGIF! Hope everyone that needs to find #recovery can and that our friends stay #sober this weekend! @REBOSTreatment @BlvdCenters
100;2017-En-21179;sta;['joy', 'love'];positive;@spencer0415 awe, I love you kid!!
101;2017-En-11656;exp;['joy', 'optimism'];positive;@KClarkSC2 @JohamasSC2 with their faggy colors are nice' is ok too. Even tho some might take offense because WORDS LOL.
102;2017-En-10217;sta;['anger', 'disgust'];negative;@MannyM83 @DareToReagan oh yeah. I HATE the air raid and I don't like the Oregon/Baylor offense and I'm not a fan of the ole miss one either
103;2017-En-40059;que;['anger', 'disgust', 'sadness'];negative;Am I the only person who dislikes fall? #FirstDayofFall #leaves #thingsdie #depressing #cold #noflipflops 👎🏾👎🏽👎🏻🍂🍁
104;2017-En-22223;exp;['anger', 'anticipation', 'disgust', 'fear', 'pessimism'];negative;@tweetingacct @amandacarpenter @TeamTrump the 'pledge' would have never have to be made if petulant child POStrump didn't threaten to run
105;2017-En-31141;exp;['anger', 'disgust', 'joy', 'optimism'];positive;Pakis are applauding Sharif's speech,i wonder how many really understood what he said!!!!\nThey are very much excited and happy
106;2017-En-30988;exp;['sadness'];negative;18' \nMichael Carrick as struck the back of the net much to the delight of under pressure man u fanz and MOU...
107;2017-En-11566;exp;['anger', 'disgust'];negative;James: no 500k, no 50k, no 25k, no 10k. You fucked up. #bb18  #shouldofVotedforNicole
108;2017-En-30871;exp;['joy', 'optimism'];positive;@hesham786 that's the spirit #optimism
109;2017-En-40204;exp;['pessimism', 'sadness'];negative;If Payet goes either in Jan or @ the seasons end, can't say I blame him. The boy must b so disheartened by what he's seeing at the mo.
110;2017-En-41521;oth;['anticipation', 'joy', 'optimism'];positive;Looking nice forward to playing at Paper Dress Vintage in Hackney this evening - get there early as I'll be on at 8pm! @paperdressed #blues
111;2017-En-40823;sug;['joy', 'optimism'];positive;"you are on an endless journey of figuring yourself out; don't be discouraged when you don't know who you are yet."
112;2017-En-41060;exp;['anticipation', 'disgust', 'joy'];negative;Fam what seems more fun for a photo booth: being able to instantly post to Twitter or having to wait till sober to see the hot mess
113;2017-En-31452;exp;['anticipation', 'joy'];positive;Inglorious distinguished try auction so the joviality touching back side auction otherwise advance for order about: vAwyZAD
114;2017-En-30942;sta;['joy', 'love', 'optimism'];positive;@IreneEstry can't wait to see you Hun #cuddles #gossip #laughter
115;2017-En-21347;exp;['disgust', 'joy'];negative;Even at this level, rojo still manages to play god damn awful. #MUFC
116;2017-En-20698;oth;['anticipation', 'sadness'];negative;@NFYFC @Wilkster_ hmm, don't know many yf  who are short on confidence! Wish I'd been one,
117;2017-En-30750;sta;['anger', 'disgust', 'joy'];negative;@bear_ing you asshole... you made me sexually attacked to a animated bear :-P
118;2017-En-10582;sta;['joy', 'trust'];positive;@jessebwatters lol. Love it when you aggravate Juan. Keep up the good work. Lol
119;2017-En-10464;sta;['optimism'];positive;@DRUDGE_REPORT @FoxNews good thing the FBI didn't offend them!
120;2017-En-40332;exp;['optimism', 'sadness'];negative;"Regret for the things we did can be tempered by time; it is regret for the things we did not do that is inconsolable.  Sydney J. Harris"
121;2017-En-11035;sta;['anger', 'disgust'];negative;I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene #anger #fuck #die #hatered
122;2017-En-30735;exp;['anticipation', 'joy', 'love'];negative;Does anyone remember a movie that is animated in the late 70's called Shame of the Jungle John Bulushi was in it wild if that's your taste
123;2017-En-11132;sta;['anger', 'disgust', 'sadness'];negative;My irritation level is at an all time high today 🙃
124;2017-En-41398;exp;['anger', 'disgust', 'pessimism', 'sadness'];negative;@seantkin @coachella @RomanDanielsXXX @kodyknightXXX I see my 'eliminate the hanging tongue' campaign is a dismal failure.
125;2017-En-40473;sta;['anticipation', 'pessimism'];negative;An hour played and @ASFCofficial have conceded less at West ham than @ManUtd have at northampton.  Let that sink in.
126;2017-En-21661;oth;['fear', 'sadness'];negative;Heyyyy warriors!!!!! #anxiety #panicattacks
127;2017-En-10006;sta;['anger', 'sadness'];negative;When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA #raging #oldcunt
128;2017-En-20447;exp;['anger', 'disgust', 'fear', 'sadness'];negative;Bitch worry about me more than I worry about myself 🙄😩
129;2017-En-31451;sta;['joy', 'love', 'optimism'];positive;That was a lovely story to actually see Ruth and hubby who won the cashcow @sunriseon7.It was so funny when she left the phone #happy 😊
130;2017-En-30578;sug;['joy', 'love'];positive;Go follow #beautiful #Snowgang ♥@Amynicolehill12 ♥ #Princess #fitness #bodyposi #haircut  #Whitegirlwednesday
131;2017-En-40575;exp;['pessimism', 'sadness'];negative;So @JeffProbst those of us born in 85 have no generation! Where is the gen-less tribe! Ha! #survivor #lost soles
132;2017-En-21246;exp;['anticipation', 'disgust'];negative;@AaliyahLove69 I would be intimidated but I would like to think I would have manned up and helped.
133;2017-En-10723;exp;['anger', 'disgust', 'optimism', 'sadness'];negative;Keep in mind. We're all weak. Don't insult people just because they're human.
134;2017-En-11556;sug;['anger', 'disgust'];negative;@alour @jkramon1313 you should force your neighbours to pay that!  Those people have some nerve!!!  #Victim
135;2017-En-30001;sta;['joy', 'love'];positive;Oh dear an evening of absolute hilarity I don't think I have laughed so much in a long time! 😂
136;2017-En-11121;thr;['anger'];negative;We're going to get City in the next round for a revenge.
137;2017-En-20637;exp;['anticipation'];negative;@JTregManc it's fair to say he's been a bit timid compared to what I've been known to see from him
138;2017-En-21450;exp;['anger', 'disgust', 'sadness', 'surprise'];negative;I can't believe @HoustonTexans can't put up even 3 points on @Patriots  #hugeletdown
139;2017-En-31260;sta;['joy', 'love', 'surprise'];positive;When my friends send me ballons and fireworks through text... #amazing
140;2017-En-11665;que;['anger', 'disgust', 'sadness'];negative;Will I offend you\nif I am truthful but kind\nor will you see why?\n@baffled #haikuchallenge #offend
141;2017-En-10650;sta;['anticipation', 'optimism'];neutral;doing some testing with my current earth burst team
142;2017-En-40949;exp;['optimism', 'sadness'];negative;Living with #depression doesn't mean you must be defeated by it\nevery day's a new day and yesterday doesn't decide what today looks like :-)
143;2017-En-20923;que;['anticipation', 'optimism', 'surprise'];positive;@Just_Alasia I agree. Btw, have u seen Ep22, Granger, O?  That was the episode when I knew Anna was coming back, the conversation at start.
144;2017-En-20957;sta;['joy', 'love', 'optimism'];positive;#terror @sjdonghaev i love you
145;2017-En-41043;exp;['sadness'];negative;@MHChat Childood experiences can  leave you with permanent deep sadness as adult  it can underlie everything #MHChat
146;2017-En-20458;sta;['fear', 'joy'];positive;Excited and nervous for Tuesday
147;2017-En-30354;sug;['joy', 'optimism'];positive;Quote_Soup: Be happy not because everything is good, but because you can see the good side of everything. #optimism
148;2017-En-10484;sta;['anger', 'disgust', 'sadness'];negative;@EAMaddenNFL @EASPORTS I played a game where John Elway was sacked 3x and fumbled all 3x. Is this the same John elway I know of??? #madden
149;2017-En-31120;sta;['joy', 'love'];positive;I'm still laughing 'Bitch took my pillow' line #glee #kurt
150;2017-En-30280;exp;['joy', 'optimism'];positive;@AJStylesOrg I know they have you a scripted ego maniac but, I was so elated to hear that you are a devout Christian like myself. Phenomanal
151;2017-En-41056;exp;['pessimism', 'sadness'];negative;@p0stcap I've still been trying to sort through it all, but I suppose I also shouldn't have had such high expectations. #sadness
152;2017-En-11020;exp;['anticipation', 'optimism'];negative;@Alex_Philip2648 it's a step up from boiling broccoli tbh
153;2017-En-30237;exp;['joy', 'optimism'];positive;Elinor,' she laughed so little known, all over every body at the brilliant cheerfulness of sweetmeats and a fashion.
154;2017-En-20665;sta;['anger', 'surprise'];negative;No @Chrishilly1987 for MOS 😡  #shocking Leads from the front 💪🏻
155;2017-En-40491;sta;['sadness'];negative;Flight 815 crashed on The Lost Island 2004 #lost @JoshuaJThurston
156;2017-En-41389;sta;['anger', 'anticipation', 'disgust', 'pessimism'];negative;_Her mind is a #dark room,\nDeveloping #Madness  ♨😘
157;2017-En-31096;sta;['joy'];positive;@LostGermain ' Want to have a spar?' The prince smiles and reaches for his hilt and his icy eyes keep on Aaron, a playful look in his eyes.
158;2017-En-20735;sta;['joy', 'love', 'optimism'];positive;#Partners are willing to #walk alongside you without being #intimidated by you. #WhoIsIT #Part2 #RelationShift #CLifeMacon
159;2017-En-21532;sta;['fear'];negative;“What worries you masters you.” - Haddon Robinson @ChoGMinistries #Jesusisthesubject #worry #anxiety #anxious
160;2017-En-10649;sta;['anticipation', 'joy'];negative;I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.
161;2017-En-11086;exp;['anticipation', 'optimism', 'surprise'];positive;@PearseDoherty @harrymcgee @IrishTimes That might sting for a bit lads but you'll get over it.     #betterwithsinnfein
162;2017-En-40464;que;['anticipation'];negative;and naoto nod she also like tha bands. but she also frown. 'Will the bands 'Papa Roach' be at concert...?'
163;2017-En-31388;exp;['joy', 'love', 'optimism', 'trust'];positive;"The LORD your God is in your midst—a warrior bringing victory. He will create calm with his love; he will rejoice over you with singing."
164;2017-En-40241;sta;['anger', 'disgust', 'pessimism', 'sadness'];negative;i miss the guy who always make me sulk
165;2017-En-40345;exp;['fear', 'pessimism'];negative;Im kind of confused.  The one thing i do right now has a great future, but on the other hand so does the new thing .  #needhelp
166;2017-En-40016;exp;['anger', 'disgust', 'sadness'];negative;We can't even grieve over one black body before another one pops up due to pig brutality
167;2017-En-31180;exp;['anger', 'disgust', 'sadness'];negative;@JoyAnnReid I totally understood his point, but we need a better messenger and the laughter just pissed me off! 😡
168;2017-En-11555;sug;['anger', 'disgust'];negative;@happyandbashful @Teigngardener @CEVokins @gardengirllucy Don't provoke the Voke.
169;2017-En-20789;exp;['anger', 'disgust', 'sadness'];negative;If Monday had a face I would punch it #monday  #face #punch #fight #joke #like #firstworldproblems #need #coffee #asap #follow
170;2017-En-31230;sta;['anger', 'disgust'];negative;When ya'll talkin about you know who I don't know who ya'll talkin bout, I'm on the new shit....chuckin up ma deuces......🔥🔥 #kanye
171;2017-En-30122;sta;['joy', 'love', 'optimism'];positive;Something about these cool, breezy fall days.. 😍🍂🌾🍁
172;2017-En-40995;exp;['anger', 'disgust'];negative;@MarianKeyes the pout tips me over the edge. I am most definitely AGIN. Who the feic bakes with full make up and boots with heels!!!!
173;2017-En-10007;que;['anger', 'disgust', 'sadness'];negative;@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming
174;2017-En-10225;exp;['disgust', 'sadness'];negative;How can I tell Happy Anniversary, when u are not happy.. #bitter #ampalaya #paitpaitanangpeg
175;2017-En-21079;exp;['anger', 'disgust', 'joy', 'trust'];negative;@JoeFahezy I could of told you that one lmfao 😂 Then old niggas get wasted and start fucking around
176;2017-En-21147;exp;['fear', 'pessimism'];negative;I know this is going to be one of those nights where it takes an Act of God to fall asleep.
177;2017-En-20035;sta;['fear', 'joy'];negative;I was literally shaking getting the EKG done lol 🙄
178;2017-En-40631;sug;['joy', 'optimism'];positive;Just put the winter duvet on ☃️❄️🌬☔️ #serious
179;2017-En-10990;sug;['anger', 'disgust', 'fear', 'sadness'];negative;@NewAgeInsiders @ChaoticWrestlin @davienne_long make sure you tell them how scared you are #revenge 🙌🏼🙌🏼
180;2017-En-40328;sta;['anger', 'disgust', 'sadness'];negative;i got his bitch depress
181;2017-En-20019;sta;['fear', 'joy', 'optimism'];negative;Cosplaying properly for the first time on Saturday! Pretty nervous..
182;2017-En-20269;exp;['anger', 'disgust', 'fear'];negative;@DaniQays @AJENews ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...
183;2017-En-10196;exp;['anger', 'disgust'];negative;@CI  I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail
184;2017-En-40122;sta;['sadness'];negative;@GCC_DiscGolf lost my xt nova around hole 8 or 9 #sadness
185;2017-En-40862;sug;['anticipation', 'optimism', 'trust'];negative;"HartRamsey'sUPLIFT If you're still discouraged it means you're listening to the wrong voices &amp; looking to the wrong source.Look to the LORD!"
186;2017-En-10921;sta;[];negative;@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.
187;2017-En-31051;sta;['joy', 'optimism'];positive;Iniesta still the one player I idolize from Barca,a delight to watch I tell you
188;2017-En-41418;sta;['joy', 'optimism'];positive;@jordan_grimmer If that's messin I can't wait to see #serious !! Brilliant stuff
189;2017-En-20303;exp;['anger', 'disgust', 'fear', 'pessimism', 'sadness'];negative;Today has dragged on #restless
190;2017-En-40980;sta;['anticipation', 'joy', 'surprise'];negative;Ok it really just sunk in that I'm seeing the 🐐 in a few hours.. wow 🙄🙄
191;2017-En-30554;oth;['anticipation', 'joy', 'optimism'];positive;Cross Party Group on Crofting meeting tonight in @ScotParl. Suspect it's going to be a lively meeting....
192;2017-En-41138;sta;['anger', 'disgust', 'joy'];neutral;I'm allowed to sulk
193;2017-En-40914;exp;['anger', 'disgust', 'pessimism', 'sadness'];negative;It's really sad when you can't order goods from china and the likes because of Internet fraudsters... What's this government really doing.
194;2017-En-20631;que;['anger', 'disgust'];negative;@DSDambuster just finally started #homefronttherevolution, what did you all do the story and gameplay??? #terrible #wasteofmoney
195;2017-En-30846;sta;['joy', 'optimism'];positive;Somebody who has braved the storm is brewing. #cheerful
196;2017-En-41009;sta;['disgust', 'sadness'];negative;@ChipotleTweets Gabe the worst part is I can't get hot status this month because there's no chipotle near enough to my campus #sadness
197;2017-En-30694;sug;['optimism', 'trust'];negative;Never make a #decision when you're #angry and never make a #promise when you're . #wisewords
198;2017-En-40407;sta;['disgust', 'sadness'];negative;[My teeth were sunk down into the vein of the poor woman who had 'accidentally' had a small problem with her engine, just outside of --
199;2017-En-30853;sta;['joy', 'love', 'optimism', 'trust'];positive;@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb
